广东频道,#genre#
梁家辉,http://www.douzhicloud.site:35455/huya/11342429
欢笑影院,https://live.metshop.top/huya/11352894
电影宇宙,https://live.metshop.top/huya/11342428
经典港片,https://live.metshop.top/huya/11352965
其它-1,https://live.metshop.top/huya/11352973
其它-2,https://live.metshop.top/huya/11352969
其它-3,http://www.douzhicloud.site:35455/huya/11342395
其它-4,https://live.metshop.top/huya/21059578
淘电影,http://www.douzhicloud.site:35455/bptv/10000100000000050000000003887498.m3u8
淘剧场,http://www.douzhicloud.site:35455/bptv/10000100000000050000000003887497.m3u8
淘BABY,http://www.douzhicloud.site:35455/bptv/10000100000000050000000003887496.m3u8
淘娱乐,http://www.douzhicloud.site:35455/bptv/10000100000000050000000003887499.m3u8
BTV-重温经典,http://www.douzhicloud.site:35455/bptv/10000100000000050000000003887494.m3u8
萌宠TV,http://www.douzhicloud.site:35455/bptv/10000100000000050000000003887495.m3u8
HBO,http://122.117.71.103:8556/http/61.222.53.250:8081/hls/71/813/ch41.m3u8
HBO2,http://185.236.229.62:9981/play/a05x
HBO3,http://185.236.229.62:9981/play/a062
HBOHiTS,http://108.181.20.197/livehttpplay?channel_id=20091
动物世界,http://hc8q.x3322.net:35455/yy/1382743138
直播中国,http://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8
